Page,Review_ID,Author_Name,Rating_Stars,Review_Title,Review_Text,City,Posted_Date,Helpful_Count,Certified_Buyer
95,P95_REV_001,Anonymous,4,N/A,N/A,,N/A,0,No
95,P95_REV_002,Anonymous,N/A,N/A,N/A,,N/A,0,No
95,P95_REV_003,Anonymous,N/A,N/A,N/A,,N/A,0,No
95,P95_REV_004,Anonymous,N/A,N/A,N/A,,N/A,0,No
95,P95_REV_005,Anonymous,N/A,N/A,N/A,,N/A,0,No
95,P95_REV_006,Anonymous,N/A,N/A,N/A,,N/A,0,No
95,P95_REV_007,Rajkumar K,2,Slightly disappointed,It is not the good and even if you use for 5 mins for taking photos or videos also heating like anything.READ MORE,Hyderabad,1 month ago,1,Yes
95,P95_REV_008,Flipkart Customer,5,Wonderful,Good one but low battery backup...READ MORE,Nanjangud,1 month ago,0,Yes
95,P95_REV_009,Amol Patil,4,Very Good,Battery back up is very low. All other things of this mobile are good. It works smoothly.READ MORE,Parola,1 month ago,0,Yes
95,P95_REV_010,Chandana,5,Mind-blowing purchase,This phone is too muchREAD MORE,Burdwan Division,1 month ago,0,Yes
95,P95_REV_011,Prasad  Balsure,2,Slightly disappointed,Battery issue is there can't even get 5 hours screen on time i invested all hard earned money it it please be careful while investing in it camera is ok but can't compare it with iphone 16 only outdoor camera is ok other about performance I am not heavy user so for me it's ok.READ MORE,Pune Division,1 month ago,0,Yes
95,P95_REV_012,Biru Customer,5,Terrific,AwesomeREAD MORE,Daltonganj,1 month ago,0,Yes
95,P95_REV_013,Rohan Aich,5,Excellent,"Overall a great phone. Compact size with great display, camera, and performance. Decent enough battery backup. Loved it.READ MORE",Kolkata,1 month ago,0,Yes
95,P95_REV_014,Swodesh Bastakoti,5,Terrific,"The whole look of the phone is awesome. Phone is superb and fast. 128, 256 go as per your need. As its a flagships phone so many things are cool. I bought in bbd so price was good. Overall it is a good phone. Handy, cool looking and superfast.READ MORE",Bhubaneswar,1 month ago,0,Yes
95,P95_REV_015,Maha Shankar Mishra,5,Classy product,Wow best performanceREAD MORE,Patna Division,1 month ago,0,Yes
95,P95_REV_016,Vikram  Kumar,5,Highly recommended,Osm 👌  experience with s24😍😍READ MORE,Vaishali District,1 month ago,0,Yes
95,P95_REV_017,Anonymous,N/A,N/A,N/A,,N/A,0,No
