Page,Review_ID,Author_Name,Rating_Stars,Review_Title,Review_Text,City,Posted_Date,Helpful_Count,Certified_Buyer
157,P157_REV_001,Anonymous,4,N/A,N/A,,N/A,0,No
157,P157_REV_002,Anonymous,N/A,N/A,N/A,,N/A,0,No
157,P157_REV_003,Anonymous,N/A,N/A,N/A,,N/A,0,No
157,P157_REV_004,Anonymous,N/A,N/A,N/A,,N/A,0,No
157,P157_REV_005,Anonymous,N/A,N/A,N/A,,N/A,0,No
157,P157_REV_006,Anonymous,N/A,N/A,N/A,,N/A,0,No
157,P157_REV_007,Flipkart Customer,5,Best in the market!,Using other phones of 6000 mAH and switching to a 4000 feels kinda low but its manageable.Also It has heating issues.. other than that its a great phone..Looks 10/10Camera 10/10Display 10/10UI 10/10READ MORE,Dimapur,1 month ago,0,Yes
157,P157_REV_008,Rohit Saini,5,Perfect product!,Worth it in Big billion day 😉READ MORE,Bahadurgarh,1 month ago,0,Yes
157,P157_REV_009,Flipkart Customer,5,Simply awesome,Amazing product worth itREAD MORE,Davanagere,1 month ago,0,Yes
157,P157_REV_010,Mahesh,5,Great product,"Compact phone lovers this is for you perfectly, comming to seller i received product safely. At buying time I was confused with the review towards seller. After received product i am satiREAD MORE",Kochi,1 month ago,0,Yes
157,P157_REV_011,Sunil Ram,4,Delightful,The phone is good but the battery is a little less.READ MORE,Delhi Division,1 month ago,0,Yes
157,P157_REV_012,MUKESH PU,5,Best in the market!,Awesome phoneREAD MORE,Bangalore,1 month ago,0,Yes
157,P157_REV_013,Anil Yadav,5,Mind-blowing purchase,With snapdragon 8 bettry life is much more increaseREAD MORE,Jalandhar,1 month ago,0,Yes
157,P157_REV_014,Girish V,5,Perfect product!,Ok good mobileREAD MORE,Bengaluru,1 month ago,0,Yes
157,P157_REV_015,Flipkart Customer,5,Must buy!,"This phone very  premium feel and the hand And degine  in very  compect  Profamance, acxlent Camera, Very goodBattery, one day minimum Display, very good, acxlentREAD MORE",Ranchi District,1 month ago,0,Yes
157,P157_REV_016,Subham Sarkar,4,Good choice,Good experience 😃READ MORE,Islampur,1 month ago,0,Yes
157,P157_REV_017,Anonymous,N/A,N/A,N/A,,N/A,0,No
