Page,Review_ID,Author_Name,Rating_Stars,Review_Title,Review_Text,City,Posted_Date,Helpful_Count,Certified_Buyer
101,P101_REV_001,Anonymous,4,N/A,N/A,,N/A,0,No
101,P101_REV_002,Anonymous,N/A,N/A,N/A,,N/A,0,No
101,P101_REV_003,Anonymous,N/A,N/A,N/A,,N/A,0,No
101,P101_REV_004,Anonymous,N/A,N/A,N/A,,N/A,0,No
101,P101_REV_005,Anonymous,N/A,N/A,N/A,,N/A,0,No
101,P101_REV_006,Anonymous,N/A,N/A,N/A,,N/A,0,No
101,P101_REV_007,Umar Khan,5,Worth every penny,"Awesome, just go for it.READ MORE",Malappuram District,1 month ago,0,Yes
101,P101_REV_008,Sibu 7,5,Terrific,ExllentREAD MORE,Surat,1 month ago,0,Yes
101,P101_REV_009,md sayed  reja,5,Terrific purchase,Best price best phone super tuper hit phoneREAD MORE,Maldah District,1 month ago,0,Yes
101,P101_REV_010,Govind Ghadiya,5,Worth every penny,Very Nice 👍👍👍READ MORE,Surat,1 month ago,0,Yes
101,P101_REV_011,Akash  Kshirsagar,5,Classy product,Good PhoneREAD MORE,Pune Division,1 month ago,0,Yes
101,P101_REV_012,Anuj Kumar,5,Excellent,Nice product.READ MORE,Kanchrapara,1 month ago,0,Yes
101,P101_REV_013,Dipanjan Pal,1,Worst experience ever!,The heats up a lot.READ MORE,Howrah,1 month ago,4,Yes
101,P101_REV_014,Ajay Sagar,5,Fabulous!,Awesome phone under 40k 😎😎✨✨READ MORE,Moradabad Division,1 month ago,0,Yes
101,P101_REV_015,Flipkart Customer,1,Worst experience ever!,Earphone plug not working new mobileWhat should I doREAD MORE,Surendranagar,1 month ago,2,Yes
101,P101_REV_016,Flipkart Customer,5,Great product,"Display and screen size could be larger. Battery could have been at least 5000 mAh. Else, I am extremely satisfied 😌READ MORE",Hyderabad,1 month ago,0,Yes
101,P101_REV_017,Anonymous,N/A,N/A,N/A,,N/A,0,No
